,Id,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,Fireplaces,GarageType,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,1,60,3,8450,1,3,3,0,4,0,5,2,2,0,5,7,5,2003,2003,1,0,12,13,1,196.0,2,4,2,2,3,3,2,706,5,0,150,856,1,0,1,4,854,0,1710,1,0,2,1,3,1,2,6,0,1,1,2,4,4,2,0,61,0,0,0,0,0,2,2008,8,4,12.247694320220996
1,2,20,3,9600,1,3,3,0,2,0,24,1,2,0,2,6,8,1976,1976,1,0,8,8,2,0.0,3,4,1,2,3,1,0,978,5,0,284,1262,1,0,1,4,0,0,1262,0,1,2,0,3,1,3,6,1,1,1,2,4,4,2,298,0,0,0,0,0,0,5,2007,8,4,12.109010932687044
2,3,60,3,11250,1,0,3,0,4,0,5,2,2,0,5,7,5,2001,2002,1,0,12,13,1,162.0,2,4,2,2,3,2,2,486,5,0,434,920,1,0,1,4,866,0,1786,1,0,2,1,3,1,2,6,1,1,1,2,4,4,2,0,42,0,0,0,0,0,9,2008,8,4,12.31716669303576
3,4,70,3,9550,1,0,3,0,0,0,6,2,2,0,5,7,5,1915,1970,1,0,13,15,2,0.0,3,4,0,3,1,3,0,216,5,0,540,756,1,2,1,4,756,0,1717,1,0,1,0,3,1,2,6,1,5,2,3,4,4,2,0,35,272,0,0,0,0,2,2006,8,0,11.849397701591439
4,5,60,3,14260,1,0,3,0,2,0,15,2,2,0,5,8,5,2000,2000,1,0,12,13,1,350.0,2,4,2,2,3,0,2,655,5,0,490,1145,1,0,1,4,1053,0,2198,1,0,2,1,4,1,2,6,1,1,1,3,4,4,2,192,84,0,0,0,0,0,12,2008,8,4,12.429216196844385
5,6,50,3,14115,1,0,3,0,4,0,11,2,2,0,0,5,5,1993,1995,1,0,12,13,2,0.0,3,4,5,2,3,3,2,732,5,0,64,796,1,0,1,4,566,0,1362,1,0,1,1,1,1,3,6,0,1,2,2,4,4,2,40,30,0,320,0,0,700,10,2009,8,4,11.870599909242046
6,7,20,3,10084,1,3,3,0,4,0,21,2,2,0,2,8,5,2004,2005,1,0,12,13,3,186.0,2,4,2,0,3,0,2,1369,5,0,317,1686,1,0,1,4,0,0,1694,1,0,2,0,3,1,2,6,1,1,1,2,4,4,2,255,57,0,0,0,0,0,8,2007,8,4,12.634603026569335
7,8,60,3,10382,1,0,3,0,0,0,14,4,2,0,5,7,6,1973,1973,1,0,6,6,3,240.0,3,4,1,2,3,2,0,859,1,32,216,1107,1,0,1,4,983,0,2090,1,0,2,1,3,1,3,6,2,1,1,2,4,4,2,235,204,228,0,0,0,350,11,2009,8,4,12.206072645530176
8,9,50,4,6120,1,3,3,0,4,0,17,0,2,0,0,7,5,1931,1950,1,0,3,15,2,0.0,3,4,0,3,3,3,5,0,5,0,952,952,1,2,1,1,752,0,1774,0,0,2,0,2,2,3,2,2,5,2,2,1,4,2,90,0,205,0,0,0,0,4,2008,8,0,11.774520202658689
9,10,190,3,7420,1,3,3,0,0,0,3,0,0,1,1,5,6,1939,1950,1,0,8,8,2,0.0,3,4,0,3,3,3,2,851,5,0,140,991,1,0,1,4,0,0,1077,1,0,1,0,2,2,3,6,2,1,1,1,2,4,2,0,4,0,0,0,0,0,1,2008,8,4,11.6784399034478
10,11,20,3,11200,1,3,3,0,4,0,19,2,2,0,2,5,5,1965,1965,3,0,6,6,2,0.0,3,4,1,3,3,3,4,906,5,0,134,1040,1,0,1,4,0,0,1040,1,0,1,0,3,1,3,6,0,5,2,1,4,4,2,0,0,0,0,0,0,0,2,2008,8,4,11.771436160121727
11,12,60,3,11924,1,0,3,0,4,0,16,2,2,0,5,9,5,2005,2006,3,0,14,15,3,286.0,0,4,2,0,3,3,2,998,5,0,177,1175,1,0,1,4,1142,0,2324,1,0,3,0,4,1,0,6,2,3,0,3,4,4,2,147,21,0,0,0,0,0,7,2006,6,5,12.751299696013493
12,13,20,3,12968,1,1,3,0,4,0,19,2,2,0,2,5,6,1962,1962,3,0,6,10,2,0.0,3,4,1,3,3,3,0,737,5,0,175,912,1,4,1,4,0,0,912,1,0,1,0,2,1,3,6,0,5,2,1,4,4,2,140,0,0,0,176,0,0,9,2008,8,4,11.877568578558137
13,14,20,3,10652,1,0,3,0,4,0,5,2,2,0,2,7,5,2006,2007,1,0,12,13,3,306.0,2,4,2,2,3,0,5,0,5,0,1494,1494,1,0,1,4,0,0,1494,0,0,2,0,3,1,2,6,1,1,1,3,4,4,2,160,33,0,0,0,0,0,8,2007,6,5,12.540757571577293
14,15,20,3,10920,1,0,3,0,0,0,12,2,2,0,2,6,5,1960,1960,3,0,8,8,1,212.0,3,4,1,3,3,3,1,733,5,0,520,1253,1,4,1,4,0,0,1253,1,0,1,1,2,1,3,6,1,1,1,1,4,4,2,0,213,176,0,0,0,0,5,2008,8,4,11.964001084330445
15,16,45,4,6120,1,3,3,0,0,0,3,2,2,0,1,7,8,1929,2001,1,0,13,14,2,0.0,3,4,0,3,3,3,5,0,5,0,832,832,1,0,1,0,0,0,854,0,0,1,0,2,1,3,6,0,5,2,2,4,4,2,48,112,0,0,0,0,0,7,2007,8,4,11.790557201568507
16,17,20,3,11241,1,0,3,0,1,0,12,2,2,0,2,6,7,1970,1970,1,0,13,14,1,180.0,3,4,1,3,3,3,0,578,5,0,426,1004,1,0,1,4,0,0,1004,1,0,1,0,2,1,3,6,1,1,0,2,4,4,2,0,0,0,0,0,0,700,3,2010,8,4,11.911701584927595
17,18,90,3,10791,1,3,3,0,4,0,19,2,2,2,2,4,5,1967,1967,1,0,8,8,2,0.0,3,4,3,3,3,3,5,0,5,0,0,0,1,4,1,4,0,0,1296,0,0,2,0,2,2,3,6,0,4,2,2,4,4,2,0,0,0,0,0,0,500,10,2006,8,4,11.407564949312404
